"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","X","Y","NEIGHBORS"
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752910,2830073,2900346,2982622,3070272,3162047,3253250,3351429,3440151,3529476,3619879,3728987,3841508,3956829,4074072,4192826,4312839,4340127,4461403,4562872,4662547,4757848,4669681,4803674,5052899,4857588,4984659,5093219,5202708,-64.685386451465,-16.7081478725017,"PER,PRY,CHL,ARG,BRA"
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59935846,61720617,63508382,65327429,67219398,69195727,71175413,73222937,75322303,77450662,79594358,81661448,84421018,86249044,88930591,90912552,92908412,93952059,95687739,97400070,97300825,97106421,98201510,99541859,100603554,102301658,103214044,104278222,105306920,-53.0978311266914,-10.7877770246052,"FRA,VEN,GUY,SUR,COL,PER,PRY,BOL,URY,ARG"
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136412,134915,137528,139595,141400,143677,142953,143752,144304,144712,144991,146172,147195,148122,150322,150997,151471,151927,152299,152486,152250,152874,151111,153217,148959,150500,152668,152437,151958,-59.5597970021157,13.1814542822248,NA
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109985,113841,117944,122283,126886,131770,136093,140812,145941,151408,157080,161006,164986,169227,173619,178028,180858,183801,186985,190511,194390,199021,203502,207899,212311,215384,217847,221398,225053,114.722030353813,4.51968957502799,"MYS"
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194467,192463,189091,185186,181816,179854,183902,190056,198120,207884,219105,234269,250989,268487,285786,302195,316034,328786,340498,351556,352752,352709,349247,361128,360141,380655,387787,396174,404119,90.4018815525414,27.4110658857804,"CHN,IND"
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478103,495787,513625,531720,550244,569103,585293,601868,619040,628200,635691,658674,682037,705876,730338,755534,782726,799323,816294,833681,813670,891082,962234,1028360,1052477,1077373,1101759,1130007,1158649,23.798533677294,-22.1840321328432,"ZMB,ZWE,NAM,ZAF"
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206730,1236606,1270588,1307102,1344778,1382608,1416019,1448989,1482161,1515951,1550859,1580056,1609656,1640168,1670588,1701801,1730011,1758817,1786419,1810128,1828455,1833531,1832131,1830505,1829028,1833456,1855564,1891572,1935354,20.4682683097521,6.56823297047814,"SDN,COG,COD,SDS,CMR,TCD"
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14716482,14808612,14790326,14876718,14987193,15052399,15194505,15445238,15698979,15986015,16235249,16492176,16944708,17361674,17583893,17734768,17912036,18274723,18573598,18709052,18913515,19059145,19264216,19504718,19601132,19733477,19926490,20097371,20192958,-98.3077702819014,61.3620632436939,"USA"
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3808142,3856598,3885656,3909083,3880091,3888068,3930418,3930371,3975142,3997693,3996363,4053901,4092310,4139797,4147794,4171832,4236262,4307785,4409978,4480050,4450003,4539326,4597385,4656463,4743060,4814309,4889961,4930840,4956475,8.20867470615036,46.7978587836161,"FRA,ITA,DEU,AUT,LIE"
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4998770,5081323,5288626,5512621,5608597,5605394,5693561,5829969,5977579,6088782,6059995,6168517,6240491,6388231,6680371,6738518,6937896,7238105,7466172,7534841,8005342,8276686,8379169,8503214,8640594,8755232,8841540,8963428,9079751,-71.3825621317792,-37.7307098930349,"PER,BOL,ARG"
"China","CHN","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639943430,648168644,658132789,668969201,679289835,688175365,700455725,709659006,717198752,725253179,734849258,740669268,747357876,754391730,760824124,766360863,770370795,774185350,777399187,779404706,779956733,782565087,784480961,785747229,786573327,787073203,787050042,786738207,784182010,103.819073145824,36.5617653792527,"RUS,TJK,KGZ,MAC,HKG,MNG,KAZ,IND,NPL,BTN,MMR,KAS,LAO,VNM,PRK,AFG,PAK"
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4563496,4727508,4898919,5075760,5255110,5431430,5593663,5758639,5919904,6046665,6165381,6234839,6296159,6353591,6411916,6475346,6556256,6643909,6739504,6844066,6957112,7082245,7217611,7361291,7510643,7663648,7806149,8015967,8234429,-5.56921569979733,7.6284262023542,"GIN,MLI,GHA,LBR,BFA"
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4887796,5024351,5165872,5313284,5463841,5619178,5767941,5922614,6084171,6253404,6430498,6606532,6791025,6984435,7187428,7400806,7614570,7840595,8077153,8322260,8574179,8825221,9084881,9352279,9627629,9910668,10196177,10499670,10815707,12.7396415575373,5.69109848985864,"COG,CAF,NGA,GAB,GNQ,TCD"
"Congo, Dem. Rep.","COD","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13622012,14125841,14687255,15277928,15844432,16371453,16811058,17221312,17617575,18041943,18517562,19019366,19568668,20161969,20792332,21454895,22119643,22824378,23567154,24350550,25161388,25978726,26834662,27724675,28649762,29613110,30594477,31643726,32750588,23.6439610660395,-2.87746288969974,"ZMB,RWA,TZA,COG,UGA,CAF,SDS,AGO,BDI"
"Congo, Rep.","COG","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941791,969342,998258,1029072,1062056,1095311,1128905,1165057,1202236,1241820,1281008,1318591,1357425,1399171,1443710,1491337,1544069,1602535,1661952,1721011,1778110,1826034,1871491,1915819,1959944,2007089,2059688,2115708,2175352,15.2196576195159,-0.837874631183661,"COD,CAF,AGO,GAB,CMR"
"Colombia","COL","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11663731,12023308,12404446,12764256,13279811,13816367,14365683,14940737,15536950,16146328,16763818,17406537,18049380,18695610,19352639,20023285,20681687,21357162,22041055,22718441,23318223,23993408,24690404,25001105,25321884,25773738,26020330,26421385,26812412,-73.0811458240929,3.91383430725032,"PAN,VEN,PER,ECU,BRA"
"Comoros","COM","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95081,98219,101053,104172,107668,110931,114362,117662,121147,124702,128029,131618,135335,139202,143256,147462,151738,156327,161164,166133,171302,176500,181907,187471,193283,199301,205152,211248,217417,43.6825396847678,-11.8778344355281,NA
"Cabo Verde","CPV","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113670,116733,120244,124113,128113,132168,136014,139797,143565,147434,151429,156053,160687,165306,169759,174114,178657,183003,187380,191891,196391,200755,205417,210239,215093,219928,224850,230322,235427,-23.9598882025518,15.9552332421415,NA
"Costa Rica","CRI","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1173771,1202753,1219738,1272845,1321678,1386181,1382691,1480606,1566144,1603613,1616228,1715417,1758312,1808814,1816444,1927456,1961761,2031009,2062200,2083466,2074923,2162195,2181973,2227090,2314225,2322227,2252807,2288525,2322097,-84.1920876775362,9.97634463839699,"NIC,PAN"
"Cuba","CUB","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4063199,4127573,4186543,4232833,4286699,4332345,4393108,4428579,4450434,4483036,4523466,4557926,4599492,4649334,4698705,4802184,4904117,5002933,5078019,5204889,5193434,5212438,5228129,5239365,5243258,5247083,5235377,5239922,5240401,-79.0160538444629,21.6228952793113,NA
"Cyprus","CYP","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341875,352175,360015,369437,381442,388597,399695,412582,421285,432165,445064,465087,475466,494612,509338,518104,531751,546653,557592,570712,585472,585620,589187,593803,604597,604351,611515,615941,619767,33.0060021957105,34.916672112011,"CYN"
"Czech Republic","CZE","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4938954,4979467,5024861,5079352,5138632,5158918,5156951,5134661,5155929,5184005,5153263,5132262,5133854,5128040,5124920,5180535,5186107,5185902,5205303,5249751,5241295,5232517,5269165,5321932,5322708,5336207,5387517,5371439,5345031,15.3124016280994,49.7334123294874,"DEU,AUT,POL,SVK"
"Germany","DEU","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38880021,40037069,39883632,39661299,39918708,39792491,39816401,40043322,40074824,40291717,40252663,40336149,40453688,40658170,40560978,41261012,41609632,41888572,41895668,41956660,42016700,41699644,41807485,42203758,42457453,42780921,43294640,43473204,43401665,10.3857805079669,51.1069818074632,"CHE,FRA,NLD,DNK,AUT,CZE,POL,LUX,BEL"
"Djibouti","DJI","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205827,211385,214955,217601,220311,224155,230478,237855,245971,254302,262452,268843,275003,281010,287008,293218,299773,306647,313811,321277,329048,337239,345705,354387,363137,371861,379954,389053,398017,42.5606754026393,11.7487180558782,"ETH,ERI,SOL"
"Denmark","DNK","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2871612,2875103,2877358,2858715,2780846,2825968,2836607,2857119,2845775,2878797,2863199,2854562,2890599,2870437,2898633,2900837,2931220,2930831,2962829,2952579,2929869,2928221,2911871,2894562,2907004,2931381,3024435,3042143,3048085,10.028009919086,55.9812529592908,"DEU"
"Dominican Republic","DOM","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2810117,2883790,2961648,3036402,3108602,3184933,3263498,3345785,3429412,3512416,3593219,3677606,3760797,3837522,3916749,4004812,4094178,4186049,4177682,4163546,4333627,4512646,4614844,4700862,4810133,4918081,5004117,5080983,5156983,-70.5056889612129,18.8943308233396,"HTI"
"Algeria","DZA","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6484542,6754996,7004053,7300262,7594034,7847493,8095011,8298430,8507767,8719362,8930844,9157772,9379025,9598651,9819838,10042331,10254769,10460259,10661124,10861377,11136913,11358846,11597754,12064551,11642537,11798733,11937169,12106254,12264043,2.61732300919783,28.1589384944876,"MAR,SAH,MRT,MLI,NER,LBY,TUN"
"Ecuador","ECU","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4007080,4148179,4288463,4432690,4587065,4736268,4880048,5022628,5346736,5471310,5597194,5717835,5839780,6069549,6230809,6392897,6648766,6715958,6775402,6828569,6731008,6794068,7005377,7085380,7207342,7627599,8002328,8120097,8234781,-78.7520192249895,-1.42381612487738,"COL,PER"
